Datetime,dM_0030_0044,dM_0044_0075,dM_0075_0100,dM_0100_0120,dM_0120_0140,dM_0140_0200,dM_0200_0250,dM_0250_0500,dM_0500_0750,dM_0750_1000,dM_x1,dM_x2,dM_x3,dM_x4,dM_x5,dM_x6,dM_1000_x,dN_0030_0044,dN_0044_0075,dN_0075_0100,dN_0100_0120,dN_0120_0140,dN_0140_0200,dN_0200_0250,dN_0250_0500,dN_0500_0750,dN_0750_1000,dN_x1,dN_x2,dN_x3,dN_x4,dN_x5,dN_x6,dN_1000_x,dC_T,dN_T,dM_T,averageAirTemp,averageRelativeHumidity,averageAirPressure,averageSeaLevelPressure,averageWindDirection,maxWindSpeed,averageWindSpeed,rainIntensity,PM10_Krk_AlKr,PM10_Krk_Buja,PM10_Krk_Bulw,PM10_Krk_Diet,PM10_Krk_osPi,PM10_Krk_Swo,PM10_Krk_osWa,PM10_Krk_ZlRo,PM25_Krk_AlKr,PM25_Krk_Bulw
21-Jan-2022 11:00:00,1.57450368731563,1.59983038348083,0.616392699115045,0.254386799410028,0.26350221238938,1.21717256637168,0.566713126843659,4.29469800884956,2.11304277286136,2.24498783185841,0,0,0,0,0,0,0,57.3148702064897,13.583415560472,1.7221058259587,0.362037979351033,0.227705383480826,0.458865781710916,0.093864306784661,0.1399848820059,0.0159059734513274,0.00627765486725663,0,0,0,0,0,0,0,1220.79351032448,73.9250331858407,14.7452570058997,-1.3416666666667,67.051666666667,990.26,1016.1716666667,273,6.5,3.345,0,21.7,11,16.4,20,21.6,19.2,9.4,15.5,17.8,10.3
21-Jan-2022 12:00:00,0.837449541284403,0.933032527105921,0.437174311926605,0.207028912983042,0.221889352237976,1.1148857381151,0.556180984153459,3.97326800111204,1.84293494578815,1.66199082568807,0,0,0,0,0,0,0,30.4845665832638,7.92194968028913,1.22140950792327,0.294682791214902,0.191783430636643,0.420318320822909,0.0920942452043371,0.129507089241034,0.0138187378370865,0.00462468723936614,0,0,0,0,0,0,0,676.224909646928,40.7748051153739,11.7858518209619,-1.6266666666667,67.976666666667,990.11,1016.0883333333,281,6.5,3.9966666666667,0,19.4,20,15.3,23.4,25.5,20.9,11,14.2,16.7,8.7
21-Jan-2022 13:00:00,0.811032249096469,0.861978315262719,0.39268612732833,0.194655824298027,0.205698081734779,1.0872338059494,0.602819293855989,4.33051570753406,1.99201362246316,1.92561440088963,0,0,0,0,0,0,0,29.52309646928,7.31859382819016,1.09710703363914,0.277057825966084,0.177791770920212,0.40988379204893,0.0998240200166808,0.141151793160968,0.014947178204059,0.00536113427856547,0,0,0,0,0,0,0,648.036975257159,39.0648573811509,12.4042346399778,-1.96,67.013333333333,990.18,1016.1766666667,284,6.2,3.7816666666667,0,12.6,13.8,13.6,21.3,24.4,20.8,13.9,21.8,13.1,7.3
21-Jan-2022 14:00:00,0.95701668056714,0.974454823463998,0.4039936057826,0.19882402001668,0.206511259382818,1.04235223797609,0.477168751737557,3.26440255768697,1.48484959688629,1.28443508479288,0,0,0,0,0,0,0,34.8370811787601,8.27367806505421,1.12868668334723,0.282977203224911,0.178463719766473,0.392968862941342,0.0790008340283572,0.106391993327773,0.0111312204614957,0.00357436752849597,0,0,0,0,0,0,0,750.854601056436,45.2944108979705,10.2958587711982,-2.0016666666667,65.096666666667,990.4,1016.4,288,5.7,3.3116666666667,0,14.2,16.5,11.9,17.6,21.8,16.4,13.5,15.1,11.4,6.6
21-Jan-2022 15:00:00,0.883519744160178,0.931038097886541,0.364430756395997,0.174304783092324,0.181791713014459,0.908190767519467,0.421271690767519,2.70769243604004,1.07241657397108,1.08646190211346,0,0,0,0,0,0,0,32.1616098442714,7.90502280311457,1.01816295884316,0.248128754171303,0.157122914349277,0.342377919911014,0.0697416573971082,0.0882427697441602,0.0080369855394883,0.00302224694104561,0,0,0,0,0,0,0,696.570912124583,42.0014816462736,8.73108676307008,-1.4883333333333,55.926666666667,990.38166666667,1016.3366666667,290,6.4,3.7083333333333,0,20.3,16.1,13.3,19,20.9,12,13.3,19.2,16.3,7
21-Jan-2022 16:00:00,1.17490353072004,1.17753433416736,0.40199388379205,0.186082846816791,0.177372810675561,0.89280706144009,0.401880455935504,2.93054906866834,1.77214067278287,2.09745982763414,0,0,0,0,0,0,0,42.7684968028913,9.997944676119,1.12311064776202,0.264851264943008,0.153142618849041,0.336601612454824,0.0664645537948293,0.0954456491520712,0.0132727272727273,0.00582763413956074,0,0,0,0,0,0,0,907.907700861829,54.8254587155964,11.2126458159577,-2.1816666666667,63.815,990.67,1016.67,262,4.7,2.5833333333333,0,13.9,19.8,13.6,16.7,9.6,13,11.2,12.3,10.4,8
21-Jan-2022 17:00:00,1.57110063942174,1.59856408117876,0.507301918265217,0.224433972755072,0.218601056435918,1.07465443425077,0.471373922713373,3.33326966916876,2.00402641089797,2.39075590770086,0,0,0,0,0,0,0,57.1911403947735,13.5726394217403,1.41730747845427,0.319366694467611,0.188969696969697,0.4051317764804,0.0781092577147626,0.108678065054212,0.0151039755351682,0.00669335557408952,0,0,0,0,0,0,0,1211.36085626911,73.3030378092855,13.3941665276619,-1.92,63.748333333333,990.84166666667,1016.8416666667,273,4.4,2.3216666666667,0,14.3,13.8,12,16.2,18.3,17.5,15.2,13.9,12.4,7.5
21-Jan-2022 18:00:00,2.10189936057826,2.28899471782041,0.679195996663886,0.289782040589381,0.271353350013902,1.21941256602725,0.481218793438978,3.02200667222685,1.39319210453155,1.58936002224076,0,0,0,0,0,0,0,76.513201000834,19.4347381150959,1.89758632193495,0.412368640533778,0.234536002224076,0.459710314150681,0.0797848206839035,0.0985754795663061,0.0105048651654156,0.00445287739783152,0,0,0,0,0,0,0,1632.50486516542,99.1452529886017,13.3364428690575,-1.7866666666667,63.088333333333,990.75,1016.75,259,4.7,2.6033333333333,0,18.1,20.1,14.4,15.6,20.9,19.9,13.6,17.2,16,9.7
21-Jan-2022 19:00:00,2.34283402835697,2.50234612176814,0.71412816235752,0.300070336391437,0.261437308868502,1.18736224631637,0.417737003058105,2.64146010564359,1.19270642201835,1.71145176536002,0,0,0,0,0,0,0,85.2837445093132,21.2461918265221,1.99516541562413,0.427035029190992,0.225924103419516,0.447628023352794,0.0692852376980818,0.0861776480400338,0.00900083402835696,0.00479733110925771,0,0,0,0,0,0,0,1806.63302752294,109.794742563247,13.2715059772032,-1.9466666666667,65.678333333333,990.54333333333,1016.5433333333,265,3.6,2.0333333333333,0,22.6,21.8,16.3,20.4,20.4,23.3,18.3,19.4,20.5,11
21-Jan-2022 20:00:00,2.23858298582152,2.31557992771754,0.665654990269669,0.272044759521823,0.236580483736447,1.05947845426744,0.340725048651654,1.94534917987212,0.794920211287184,0.858706422018349,0,0,0,0,0,0,0,81.4886811231582,19.6605271059216,1.85973950514317,0.387153739227133,0.204474006116208,0.399413400055601,0.0565248818459828,0.0635018070614402,0.006,0.00240811787600778,0,0,0,0,0,0,0,1714.33083124826,104.128196830692,10.7276333055324,-2.1183333333333,67.268333333333,990.47333333333,1016.475,257,4.5,2.555,0,23.4,20.5,20,24.7,17.4,NaN,16.4,14.3,21.9,14.8
